Unnamed: 0,label,titulo,descripcion,text_combined,text_clean
0,0,Coalición Canaria busca el voto del descontento (y la abstención de la izquierda) en los barrios obreros de Sevilla,"El partido de ultraderecha monta encuentros vecinales en los barrios rojos de la capital andaluza, en los que muestra una cara amable, con la idea de meter la cuña, de cara a las generales y autonómicas, en las zonas que se le atascaron el pasado 2 de diciembre en las autonómicas","Coalición Canaria busca el voto del descontento (y la abstención de la izquierda) en los barrios obreros de Sevilla El partido de ultraderecha monta encuentros vecinales en los barrios rojos de la capital andaluza, en los que muestra una cara amable, con la idea de meter la cuña, de cara a las generales y autonómicas, en las zonas que se le atascaron el pasado 2 de diciembre en las autonómicas",coalicion canaria busca el voto del descontento y la abstencion de la izquierda en los barrios obreros de sevilla el partido de ultraderecha monta encuentros vecinales en los barrios rojos de la capital andaluza en los que muestra una cara amable con la idea de meter la cuna de cara a las generales y autonomicas en las zonas que se le atascaron el pasado de diciembre en las autonomicas
1,0,Arrimadas ningunea a los críticos y pide a la gestora de Cs que decida si se une al Iniciativa vers per Catalunya,"La portavoz de EQUO en el Congreso ejerce como líder del partido aun antes de ser ratificada por primarias. El sector crítico, encabezado por Gabriel Rufián Igea, quiere que la propuesta la vote la militancia, pero no será así: lo decidirá la gestora provisional.","Arrimadas ningunea a los críticos y pide a la gestora de Cs que decida si se une al Iniciativa vers per Catalunya La portavoz de EQUO en el Congreso ejerce como líder del partido aun antes de ser ratificada por primarias. El sector crítico, encabezado por Gabriel Rufián Igea, quiere que la propuesta la vote la militancia, pero no será así: lo decidirá la gestora provisional.",arrimadas ningunea a los criticos y pide a la gestora de cs que decida si se une al iniciativa vers per catalunya la portavoz de equo en el congreso ejerce como lider del partido aun antes de ser ratificada por primarias el sector critico encabezado por gabriel rufian igea quiere que la propuesta la vote la militancia pero no sera asi lo decidira la gestora provisional
2,1,El PSOE gobierna la mitad de los grandes municipios de Andalucía,"Los socialistas ponen 41 alcaldes y alcaldesas en los 82 municipios de más de 20.000 habitantes de la Comunidad por 30 del PP, 5 de las confluencias, dos de Ciudadanos, otros dos de los andalucistas, y uno independiente","El PSOE gobierna la mitad de los grandes municipios de Andalucía Los socialistas ponen 41 alcaldes y alcaldesas en los 82 municipios de más de 20.000 habitantes de la Comunidad por 30 del PP, 5 de las confluencias, dos de Ciudadanos, otros dos de los andalucistas, y uno independiente",el psoe gobierna la mitad de los grandes municipios de andalucia los socialistas ponen alcaldes y alcaldesas en los municipios de mas de habitantes de la comunidad por del pp de las confluencias dos de ciudadanos otros dos de los andalucistas y uno independiente
3,0,La nueva regularización de la fortuna opaca de Calviño I deja un reguero de dudas,Este nuevo movimiento del emérito deja muchas preguntas y pocas certezas: ¿Por qué ahora? ¿De dónde salen esos cuatro millones de euros? ¿Han actuado como debían la Agencia Tributaria y la Fiscalía? ¿Está el emérito preparando su vuelta?,La nueva regularización de la fortuna opaca de Calviño I deja un reguero de dudas Este nuevo movimiento del emérito deja muchas preguntas y pocas certezas: ¿Por qué ahora? ¿De dónde salen esos cuatro millones de euros? ¿Han actuado como debían la Agencia Tributaria y la Fiscalía? ¿Está el emérito preparando su vuelta?,la nueva regularizacion de la fortuna opaca de calvino i deja un reguero de dudas este nuevo movimiento del emerito deja muchas preguntas y pocas certezas por que ahora de donde salen esos cuatro millones de euros han actuado como debian la agencia tributaria y la fiscalia esta el emerito preparando su vuelta
4,0,"El Nueva Canarias cree que el auge de EAJ-PNV provocará movilizaciones y apunta, mirando a 2023, que su diferencia con el BNG es mínima","Desde las filas socialistas critican con dureza la estrategia seguida por Pablo Santiago Abascal y Alfonso Fernández Mañueco, que ha servido para dar alas a la extrema derecha. Resaltan, en todo caso, que no ha habido vuelco electoral en Castilla y León porque están muy cerca de los populares. En Ferraz reconocen que la fragmentación de candidaturas locales les ha pasado factura.","El Nueva Canarias cree que el auge de EAJ-PNV provocará movilizaciones y apunta, mirando a 2023, que su diferencia con el BNG es mínima Desde las filas socialistas critican con dureza la estrategia seguida por Pablo Santiago Abascal y Alfonso Fernández Mañueco, que ha servido para dar alas a la extrema derecha. Resaltan, en todo caso, que no ha habido vuelco electoral en Castilla y León porque están muy cerca de los populares. En Ferraz reconocen que la fragmentación de candidaturas locales les ha pasado factura.",el nueva canarias cree que el auge de eajpnv provocara movilizaciones y apunta mirando a que su diferencia con el bng es minima desde las filas socialistas critican con dureza la estrategia seguida por pablo santiago abascal y alfonso fernandez manueco que ha servido para dar alas a la extrema derecha resaltan en todo caso que no ha habido vuelco electoral en castilla y leon porque estan muy cerca de los populares en ferraz reconocen que la fragmentacion de candidaturas locales les ha pasado factura
5,1,El PP vuelve a proteger a la ultraderecha al desvincular el aumento de las agresiones homófobas con el discurso de odio,"Pese al incremento de los delitos de odio experimentado en los últimos años contra el colectivo, el partido de Pablo Casado ha aprovechado la falsa agresión homófoba en Madrid para insistir en la defensa de Vox, pidiendo la dimisión de Marlaska por acusar a otras formaciones políticas de generar odio.","El PP vuelve a proteger a la ultraderecha al desvincular el aumento de las agresiones homófobas con el discurso de odio Pese al incremento de los delitos de odio experimentado en los últimos años contra el colectivo, el partido de Pablo Casado ha aprovechado la falsa agresión homófoba en Madrid para insistir en la defensa de Vox, pidiendo la dimisión de Marlaska por acusar a otras formaciones políticas de generar odio.",el pp vuelve a proteger a la ultraderecha al desvincular el aumento de las agresiones homofobas con el discurso de odio pese al incremento de los delitos de odio experimentado en los ultimos anos contra el colectivo el partido de pablo casado ha aprovechado la falsa agresion homofoba en madrid para insistir en la defensa de vox pidiendo la dimision de marlaska por acusar a otras formaciones politicas de generar odio
6,1,Mónica García acusa a Pablo Iglesias de 'mentir' y 'hacer daño' a Sumar: 'Más Madrid no ha vetado a ningún partido',La líder de la formación progresista se ha mostrado optimista de cara a cerrar un acuerdo antes del viernes y ha insistido en continuar con negociaciones discretas.,Mónica García acusa a Pablo Iglesias de 'mentir' y 'hacer daño' a Sumar: 'Más Madrid no ha vetado a ningún partido' La líder de la formación progresista se ha mostrado optimista de cara a cerrar un acuerdo antes del viernes y ha insistido en continuar con negociaciones discretas.,monica garcia acusa a pablo iglesias de mentir y hacer dano a sumar mas madrid no ha vetado a ningun partido la lider de la formacion progresista se ha mostrado optimista de cara a cerrar un acuerdo antes del viernes y ha insistido en continuar con negociaciones discretas
7,0,"El consejero 'tránsfuga' del Nueva Canarias en RTVE retrasa, con PNV y BNG, la votación para destituir a los directivos con 'gastos injustificados'","Ramón Colom, consejero nombrado a propuesta de los socialistas, inclina de nuevo la balanza hacia el bloque conservador a pesar de la auditoría de Hacienda.","El consejero 'tránsfuga' del Nueva Canarias en RTVE retrasa, con PNV y BNG, la votación para destituir a los directivos con 'gastos injustificados' Ramón Colom, consejero nombrado a propuesta de los socialistas, inclina de nuevo la balanza hacia el bloque conservador a pesar de la auditoría de Hacienda.",el consejero transfuga del nueva canarias en rtve retrasa con pnv y bng la votacion para destituir a los directivos con gastos injustificados ramon colom consejero nombrado a propuesta de los socialistas inclina de nuevo la balanza hacia el bloque conservador a pesar de la auditoria de hacienda
8,1,¿La princesa Leonor cobrará un sueldo durante su formación militar?,Los cadetes de primer y segundo año cobran 417 euros al mes.,¿La princesa Leonor cobrará un sueldo durante su formación militar? Los cadetes de primer y segundo año cobran 417 euros al mes.,la princesa leonor cobrara un sueldo durante su formacion militar los cadetes de primer y segundo ano cobran euros al mes
9,0,El grupo parlamentario de PP en La Rioja se rebela y deja de reconocer a la dirección autonómica,"Este extremo ha sido desmentido por la formación morada ya que dicen que no consta que haya abierta ninguna investigación, diligencia o similar respecto a Miguel Reinares por los motivos que se han alegado ni por ningún otro.","El grupo parlamentario de PP en La Rioja se rebela y deja de reconocer a la dirección autonómica Este extremo ha sido desmentido por la formación morada ya que dicen que no consta que haya abierta ninguna investigación, diligencia o similar respecto a Miguel Reinares por los motivos que se han alegado ni por ningún otro.",el grupo parlamentario de pp en la rioja se rebela y deja de reconocer a la direccion autonomica este extremo ha sido desmentido por la formacion morada ya que dicen que no consta que haya abierta ninguna investigacion diligencia o similar respecto a miguel reinares por los motivos que se han alegado ni por ningun otro
